name	in_articles	short_name
Lam Research Corp	8	Lam Research
Adobe Inc	8	Adobe
Air France KLM SA	8	Air France KLM
Overstock.com Inc	8	Overstock.com
Rolls-Royce Holdings PLC	8	Rolls-Royce
Mitsubishi Electric Corp	8	Mitsubishi
NEC Corp	8	NEC
SAP SE	8	SAP
Slack Technologies Inc	7	Slack
China Southern Airlines Co Ltd	7	China Southern
Robert Bosch GmbH	7	Robert Bosch GmbH
Infosys Ltd	7	Infosys
Cablevision Systems Corp	7	Cablevision
Nippon Steel Corp	7	Nippon
Noble Energy Inc	7	Noble
BHP Group Ltd	7	BHP
Arm Ltd	7	Arm
China Telecom Corp Ltd	7	China Telecom
Sapura Energy Bhd	7	Sapura
VF Corp	7	VF
MediaTek Inc	7	MediaTek
Air China Ltd	7	Air China
Japan Airlines Co Ltd	7	Japan
DISH Network Corp	7	DISH Network
Deere & Co	7	Deere &
STMicroelectronics NV	7	STMicroelectronics
Cirrus Logic Inc	7	Cirrus Logic
Sikorsky Aircraft Corp	6	Sikorsky
LG Innotek Co Ltd	6	LG Innotek
International Paper Co	6	International Paper
Roku Inc	6	Roku
Hyundai Mobis Co Ltd	6	Hyundai Mobis
Johnson Controls Inc	6	Johnson Controls
KDDI Corp	6	KDDI
Linamar Corp	6	Linamar
PetroChina Co Ltd	6	PetroChina
Spirit AeroSystems Inc	6	Spirit
Tencent Holdings Ltd	6	Tencent
Visteon Corp	6	Visteon
Whole Foods Market Inc	6	Whole Foods Market
Spirit Airlines Inc	6	Spirit
Emirates Airline	6	Emirates Airline
Electronic Arts Inc	6	Electronic Arts
Walgreens Boots Alliance Inc	6	Walgreens Boots Alliance
Hitachi Ltd	6	Hitachi
Coty Inc	6	Coty
Best Buy Co Inc	6	Best Buy
AAC Technologies Holdings Inc	6	AAC
BAE Systems PLC	5	BAE
Advantest Corp	5	Advantest
JFE Holdings Inc	5	JFE
Acer Inc	5	Acer
Fortescue Metals Group Ltd	5	Fortescue Metals
Dongfeng Motor Group Co Ltd	5	Dongfeng
DoorDash Inc	5	DoorDash
News Corp	5	News Corp
Red Hat Inc	5	Red Hat
Kohls Corp	5	Kohls
Dassault Aviation SA	5	Dassault
Shopify Inc	5	Shopify
Match Group Inc	5	Match
Inphi Corp	5	Inphi
BYD Co Ltd	5	BYD
China Eastern Airlines Corp Ltd	5	China Eastern
Mitsui & Co Ltd	5	Mitsui &
China Petroleum & Chemical Corp	5	China
II-VI Inc	5	II-VI
Epic Games Inc	5	Epic Games
Traton SE	5	Traton
Vir Biotechnology Inc	4	Vir Biotechnology
Eagle Ottawa LLC	4	Eagle Ottawa
CSL Ltd	4	CSL
Tyson Foods Inc	4	Tyson Foods
Cox Communications Inc	4	Cox
Alnylam Pharmaceuticals Inc	4	Alnylam Pharmaceuticals
LifeLock Inc	4	LifeLock
United Microelectronics Corp	4	United Microelectronics
Continental AG	4	Continental
Reliance Jio Infocomm Ltd	4	Reliance Jio Infocomm
Tokyo Electron Ltd	4	Tokyo Electron
Vitol SA	4	Vitol
Rivian Automotive LLC	4	Rivian
Quanta Computer Inc	4	Quanta Computer
Reliance Industries Ltd	4	Reliance
Alstom SA	4	Alstom
NetSuite Inc	4	NetSuite
Vodafone Group PLC	4	Vodafone
American Airlines Inc	4	American
GS Yuasa Corp	4	GS Yuasa
Juniper Networks Inc	4	Juniper
Oshkosh Corp	4	Oshkosh
Pinterest Inc	4	Pinterest
Oil Search Ltd	4	Oil Search
Harley-Davidson Inc	4	Harley-Davidson
Gol Linhas Aereas Inteligentes SA	4	Gol Linhas Aereas Inteligentes
Intersil Corp	4	Intersil
Air Canada Pilots Association	4	Air Canada Pilots
Itochu Corp	4	Itochu
Sony Group Corp	4	Sony
Nuance Communications Inc	4	Nuance
Applied Materials Inc	4	Applied Materials
Singapore Telecommunications Ltd	4	Singapore Telecommunications
NortonLifeLock Inc	4	NortonLifeLock
Bridgestone Corp	4	Bridgestone
Kia Corp	4	Kia
Kobe Steel Ltd	4	Kobe
Tata Steel Ltd	4	Tata
Broadcom Corp	4	Broadcom
Saudi Arabian Oil Co	4	Saudi Arabian
Hexcel Corp	4	Hexcel
Telstra Corporation Ltd	4	Telstra Corporation
Air Transport Services Group Inc	4	Air Transport Services
Akamai Technologies Inc	3	Akamai
NTT Docomo Inc	3	NTT Docomo
Zoom Video Communications Inc	3	Zoom Video
Youku Tudou Inc	3	Youku Tudou
XPO Logistics Inc	3	XPO Logistics
CNOOC Ltd	3	CNOOC
National Iranian Oil Co	3	National Iranian
Workhorse Group Inc	3	Workhorse
Piedmont Lithium Inc	3	Piedmont Lithium
BCE Inc	3	BCE
Repsol SA	3	Repsol
Air Products and Chemicals Inc	3	Air Products and Chemicals
Porsche Automobil Holding SE	3	Porsche Automobil
Nufarm Ltd	3	Nufarm
WestJet Airlines Ltd	3	WestJet
Norwegian Air Shuttle ASA	3	Norwegian Air Shuttle
Albemarle Corp	3	Albemarle
Nitto Denko Corp	3	Nitto Denko
DTE Energy Co	3	DTE
Lenovo Group Ltd	3	Lenovo
Chorus Aviation Inc	3	Chorus
Thales SA	3	Thales
Australian Mines Ltd	3	Australian Mines
Ciena Corp	3	Ciena
Kroger Co	3	Kroger
Sesame Workshop	3	Sesame Workshop
Take-Two Interactive Software Inc	3	Take-Two Interactive
Shanghai Fosun Pharmaceutical Group Co Ltd	3	Shanghai Fosun Pharmaceutical
Astronics Corp	3	Astronics
Glencore PLC	3	Glencore
Aeva Inc	3	Aeva
Integrated Device Technology Inc	3	Integrated Device
Sumitomo Chemical Co Ltd	3	Sumitomo Chemical
Harman International Industries Inc	3	Harman
Aimia Inc	3	Aimia
Spotify Technology SA	3	Spotify
Honeywell Aerospace	3	Honeywell
FIH Mobile Ltd	3	FIH
Tenneco Inc	3	Tenneco
Leonardo SpA	3	Leonardo
Marvell Technology Inc	3	Marvell
Salesforce.Com Inc	3	Salesforce.Com
Mattel Inc	3	Mattel
Aveos Fleet Performance Inc	3	Aveos Fleet Performance
Ducommun Inc	3	Ducommun
TomTom NV	3	TomTom
Samsung C&T Corp	3	Samsung C&T
Autoliv Inc	3	Autoliv
Mahindra and Mahindra Ltd	3	Mahindra and Mahindra
Mangalore Refinery and Petrochemicals Ltd	3	Mangalore Refinery and Petrochemicals
Detroit Thermal Systems LLC	3	Detroit Thermal
Abu Dhabi National Oil Co	2	Abu Dhabi National
Singapore Technologies Engineering Ltd	2	Singapore
Rheinmetall AG	2	Rheinmetall
Pilbara Minerals Ltd	2	Pilbara Minerals
Ryanair Holdings PLC	2	Ryanair
Space Exploration Technologies Corp	2	Space Exploration
Zynga Inc	2	Zynga
Rio Tinto PLC	2	Rio Tinto
Sun Country Airlines Holdings Inc	2	Sun Country
Woodward Inc	2	Woodward
Sunny Optical Technology Group Co Ltd	2	Sunny Optical
Pivotal Software Inc	2	Pivotal
AMC Networks Inc	2	AMC
TE Connectivity Ltd	2	TE Connectivity
Talon Metals Corp	2	Talon Metals
TechnipFMC PLC	2	TechnipFMC
Wipro Ltd	2	Wipro
Wintek Corp	2	Wintek
Qualtrics International Inc	2	Qualtrics
Teradata Corp	2	Teradata
Petroleos de Venezuela SA	2	Petroleos de Venezuela
BOE Technology Group Co Ltd	2	BOE
Petrofac Ltd	2	Petrofac
Johnson Controls International PLC	2	Johnson Controls
Cameron International Corp	2	Cameron
Mondelez International Inc	2	Mondelez
Mellanox Technologies Ltd	2	Mellanox
Celestica Inc	2	Celestica
Cellco Partnership	2	Cellco Partnership
Cerner Corp	2	Cerner
Marketo Inc	2	Marketo
Luxshare Precision Industry Co Ltd	2	Luxshare
Livent Corp	2	Livent
Kraft Heinz Co	2	Kraft Heinz
Compal Electronics Inc	2	Compal
Isuzu Motors Ltd	2	Isuzu
CVS Health Corp	2	CVS Health
Cray Inc	2	Cray
International Air Transport Association	2	International Air Transport
E Ink Holdings Inc	2	E Ink
Engie SA	2	Engie
Eni SpA	2	Eni
Autodom Ltd	2	Autodom
Huntsman Corp	2	Huntsman
Fisker Inc	2	Fisker
Hess Corp	2	Hess
Fortinet Inc	2	Fortinet
Ganfeng Lithium Co Ltd	2	Ganfeng Lithium
Murata Manufacturing Co Ltd	2	Murata Manufacturing
Collins Aerospace	2	Collins
Bazaarvoice Inc	2	Bazaarvoice
CFM International Inc	2	CFM
Oath Inc	2	Oath
Orange SA	2	Orange
BHP Group PLC	2	BHP
Barnes & Noble Inc	2	Barnes & Noble
Newell Brands Inc	2	Newell
Opower Inc	2	Opower
Alcoa Corp	2	Alcoa
Nayara Energy Ltd	2	Nayara
Bed Bath & Beyond Inc	2	Bed Bath & Beyond
NVIDIA Corp	2	NVIDIA
Nikon Corp	2	Nikon
Eastman Kodak Co	1	Eastman Kodak
YPF SA	1	YPF
Edgewell Personal Care Co	1	Edgewell Personal Care
Bayerische Motoren Werke AG	1	Bayerische Motoren Werke
Digia Oyj	1	Digia
Deutsche Lufthansa AG	1	Deutsche Lufthansa
Exa Corp	1	Exa
TotalEnergies SE	1	TotalEnergies
Zhejiang Geely Holding Group Co Ltd	1	Zhejiang Geely
Barloworld Ltd	1	Barloworld
FCA US LLC	1	FCA
Tesco PLC	1	Tesco
FLIR Systems Inc	1	FLIR
Flex Ltd	1	Flex
Flipkart Online Services Pvt Ltd	1	Flipkart Online Services Pvt
